,name,Code,year,value,color
2989,Brazil,BRA,1910,4198944.0,#4C553F
2990,Brazil,BRA,1911,4605648.0,#4C553F
2991,Brazil,BRA,1912,5591264.0,#4C553F
2992,Brazil,BRA,1913,6034608.0,#4C553F
2993,Brazil,BRA,1914,4107344.0,#4C553F
2994,Brazil,BRA,1915,3143712.0,#4C553F
2995,Brazil,BRA,1916,2879904.0,#4C553F
2996,Brazil,BRA,1917,2498848.0,#4C553F
2997,Brazil,BRA,1918,2322976.0,#4C553F
2998,Brazil,BRA,1919,3070432.0,#4C553F
2999,Brazil,BRA,1920,3645680.0,#4C553F
3000,Brazil,BRA,1921,2890896.0,#4C553F
3001,Brazil,BRA,1922,3781248.0,#4C553F
3002,Brazil,BRA,1923,4616640.0,#4C553F
3003,Brazil,BRA,1924,5103952.0,#4C553F
3004,Brazil,BRA,1925,5375088.0,#4C553F
3005,Brazil,BRA,1926,5477680.0,#4C553F
3006,Brazil,BRA,1927,6074912.0,#4C553F
3007,Brazil,BRA,1928,5928352.0,#4C553F
3008,Brazil,BRA,1929,6346048.0,#4C553F
3009,Brazil,BRA,1930,5514320.0,#4C553F
3010,Brazil,BRA,1931,4169632.0,#4C553F
3011,Brazil,BRA,1932,4169632.0,#4C553F
3012,Brazil,BRA,1933,4722896.0,#4C553F
3013,Brazil,BRA,1934,4623968.0,#4C553F
3014,Brazil,BRA,1935,5510656.0,#4C553F
3015,Brazil,BRA,1936,5147920.0,#4C553F
3016,Brazil,BRA,1937,6089568.0,#4C553F
3017,Brazil,BRA,1938,6096896.0,#4C553F
3018,Brazil,BRA,1939,5950336.0,#4C553F
3019,Brazil,BRA,1940,6488944.0,#4C553F
3020,Brazil,BRA,1941,6283760.0,#4C553F
3021,Brazil,BRA,1942,5869728.0,#4C553F
3022,Brazil,BRA,1943,6477952.0,#4C553F
3023,Brazil,BRA,1944,5899040.0,#4C553F
3024,Brazil,BRA,1945,6826032.0,#4C553F
3025,Brazil,BRA,1946,7463568.0,#4C553F
3026,Brazil,BRA,1947,8951152.0,#4C553F
3027,Brazil,BRA,1948,7851952.0,#4C553F
3028,Brazil,BRA,1949,7371968.0,#4C553F
3029,Brazil,BRA,1950,19664688.0,#4C553F
3030,Brazil,BRA,1951,21665232.0,#4C553F
3031,Brazil,BRA,1952,24940848.0,#4C553F
3032,Brazil,BRA,1953,25226640.0,#4C553F
3033,Brazil,BRA,1954,29685728.0,#4C553F
3034,Brazil,BRA,1955,34034896.0,#4C553F
3035,Brazil,BRA,1956,36621680.0,#4C553F
3036,Brazil,BRA,1957,35987808.0,#4C553F
3037,Brazil,BRA,1958,39069232.0,#4C553F
3038,Brazil,BRA,1959,39017080.3,#4C553F
3039,Brazil,BRA,1960,46851820.73,#4C553F
3040,Brazil,BRA,1961,49144504.1,#4C553F
3041,Brazil,BRA,1962,53631448.03,#4C553F
3042,Brazil,BRA,1963,55550938.29,#4C553F
3043,Brazil,BRA,1964,56666675.33,#4C553F
3044,Brazil,BRA,1965,56329617.05,#4C553F
3045,Brazil,BRA,1966,64211635.32,#4C553F
3046,Brazil,BRA,1967,66079408.3,#4C553F
3047,Brazil,BRA,1968,77271373.16,#4C553F
3048,Brazil,BRA,1969,84132709.41,#4C553F
3049,Brazil,BRA,1970,93530494.44,#4C553F
3050,Brazil,BRA,1971,102357941.2,#4C553F
3051,Brazil,BRA,1972,114014328.2,#4C553F
3052,Brazil,BRA,1973,132019609.9,#4C553F
3053,Brazil,BRA,1974,142927313.7,#4C553F
3054,Brazil,BRA,1975,150513658.4,#4C553F
3055,Brazil,BRA,1976,154398074.8,#4C553F
3056,Brazil,BRA,1977,162078338.5,#4C553F
3057,Brazil,BRA,1978,175931478.8,#4C553F
3058,Brazil,BRA,1979,187155058.6,#4C553F
3059,Brazil,BRA,1980,185758330.6,#4C553F
3060,Brazil,BRA,1981,170467910.3,#4C553F
3061,Brazil,BRA,1982,170789345.3,#4C553F
3062,Brazil,BRA,1983,165426960.6,#4C553F
3063,Brazil,BRA,1984,167605588.9,#4C553F
3064,Brazil,BRA,1985,179936803.4,#4C553F
3065,Brazil,BRA,1986,197226217.1,#4C553F
3066,Brazil,BRA,1987,205788741.6,#4C553F
3067,Brazil,BRA,1988,207562967.6,#4C553F
3068,Brazil,BRA,1989,212113643.7,#4C553F
3069,Brazil,BRA,1990,206921120.0,#4C553F
3070,Brazil,BRA,1991,217227472.0,#4C553F
3071,Brazil,BRA,1992,218383504.0,#4C553F
3072,Brazil,BRA,1993,228333216.0,#4C553F
3073,Brazil,BRA,1994,239470720.0,#4C553F
3074,Brazil,BRA,1995,255583376.0,#4C553F
3075,Brazil,BRA,1996,281194784.0,#4C553F
3076,Brazil,BRA,1997,296585256.0,#4C553F
3077,Brazil,BRA,1998,308305720.0,#4C553F
3078,Brazil,BRA,1999,316282440.0,#4C553F
3079,Brazil,BRA,2000,324226040.0,#4C553F
3080,Brazil,BRA,2001,332987400.0,#4C553F
3081,Brazil,BRA,2002,327434832.0,#4C553F
3082,Brazil,BRA,2003,317508448.0,#4C553F
3083,Brazil,BRA,2004,333675144.0,#4C553F
3084,Brazil,BRA,2005,342086472.0,#4C553F
3085,Brazil,BRA,2006,341946368.0,#4C553F
3086,Brazil,BRA,2007,356918752.0,#4C553F
3087,Brazil,BRA,2008,380344928.0,#4C553F
3088,Brazil,BRA,2009,360090776.0,#4C553F
3089,Brazil,BRA,2010,411240192.0,#4C553F
3090,Brazil,BRA,2011,430194902.3,#4C553F
3091,Brazil,BRA,2012,460063092.5,#4C553F
3092,Brazil,BRA,2013,493593511.3,#4C553F
3093,Brazil,BRA,2014,519526349.7,#4C553F
3094,Brazil,BRA,2015,512081882.0,#4C553F
3095,Brazil,BRA,2016,473741376.0,#4C553F
3096,Brazil,BRA,2017,476066778.3,#4C553F
4377,China,CHN,1910,18748688.0,#7C704C
4378,China,CHN,1911,27846400.0,#7C704C
4379,China,CHN,1912,9786544.0,#7C704C
4380,China,CHN,1913,10757504.0,#7C704C
4381,China,CHN,1914,15106672.0,#7C704C
4382,China,CHN,1915,16088624.0,#7C704C
4383,China,CHN,1916,17964592.0,#7C704C
4384,China,CHN,1917,19851552.0,#7C704C
4385,China,CHN,1918,21042352.0,#7C704C
4386,China,CHN,1919,24255680.0,#7C704C
4387,China,CHN,1920,26769184.0,#7C704C
4388,China,CHN,1921,25288928.0,#7C704C
4389,China,CHN,1922,26633616.0,#7C704C
4390,China,CHN,1923,32151600.0,#7C704C
4391,China,CHN,1924,35093792.0,#7C704C
4392,China,CHN,1925,33221488.0,#7C704C
4393,China,CHN,1926,29590464.0,#7C704C
4394,China,CHN,1927,33525600.0,#7C704C
4395,China,CHN,1928,34115504.0,#7C704C
4396,China,CHN,1929,35819264.0,#7C704C
4397,China,CHN,1930,37922400.0,#7C704C
4398,China,CHN,1931,40260032.0,#7C704C
4399,China,CHN,1932,38600240.0,#7C704C
4400,China,CHN,1933,42216608.0,#7C704C
4401,China,CHN,1934,49273472.0,#7C704C
4402,China,CHN,1935,57627392.0,#7C704C
4403,China,CHN,1936,65039664.0,#7C704C
4404,China,CHN,1937,60576912.0,#7C704C
4405,China,CHN,1938,55304416.0,#7C704C
4406,China,CHN,1939,67157456.0,#7C704C
4407,China,CHN,1940,86100336.0,#7C704C
4408,China,CHN,1941,107615344.0,#7C704C
4409,China,CHN,1942,113869792.0,#7C704C
4410,China,CHN,1943,97304848.0,#7C704C
4411,China,CHN,1944,97865440.0,#7C704C
4412,China,CHN,1945,50350688.0,#7C704C
4413,China,CHN,1946,31275904.0,#7C704C
4414,China,CHN,1947,33587888.0,#7C704C
4415,China,CHN,1948,23852640.0,#7C704C
4416,China,CHN,1949,59309168.0,#7C704C
4417,China,CHN,1950,78647760.0,#7C704C
4418,China,CHN,1951,101723632.0,#7C704C
4419,China,CHN,1952,128221680.0,#7C704C
4420,China,CHN,1953,134102400.0,#7C704C
4421,China,CHN,1954,161256304.0,#7C704C
4422,China,CHN,1955,190890736.0,#7C704C
4423,China,CHN,1956,216348208.0,#7C704C
4424,China,CHN,1957,256348096.0,#7C704C
4425,China,CHN,1958,525380960.0,#7C704C
4426,China,CHN,1959,720152146.7,#7C704C
4427,China,CHN,1960,778979465.8,#7C704C
4428,China,CHN,1961,550958537.3,#7C704C
4429,China,CHN,1962,439342105.3,#7C704C
4430,China,CHN,1963,435517603.7,#7C704C
4431,China,CHN,1964,435703730.3,#7C704C
4432,China,CHN,1965,474680624.9,#7C704C
4433,China,CHN,1966,521458912.9,#7C704C
4434,China,CHN,1967,432223556.9,#7C704C
4435,China,CHN,1968,467805643.0,#7C704C
4436,China,CHN,1969,575944671.2,#7C704C
4437,China,CHN,1970,770167190.3,#7C704C
4438,China,CHN,1971,874016350.7,#7C704C
4439,China,CHN,1972,928893957.8,#7C704C
4440,China,CHN,1973,965646598.3,#7C704C
4441,China,CHN,1974,985085216.0,#7C704C
4442,China,CHN,1975,1142101906.0,#7C704C
4443,China,CHN,1976,1190964535.0,#7C704C
4444,China,CHN,1977,1304402788.0,#7C704C
4445,China,CHN,1978,1455257506.0,#7C704C
4446,China,CHN,1979,1487113084.0,#7C704C
4447,China,CHN,1980,1458886738.0,#7C704C
4448,China,CHN,1981,1442782298.0,#7C704C
4449,China,CHN,1982,1570468325.0,#7C704C
4450,China,CHN,1983,1655810483.0,#7C704C
4451,China,CHN,1984,1802317096.0,#7C704C
4452,China,CHN,1985,1951773228.0,#7C704C
4453,China,CHN,1986,2052242012.0,#7C704C
4454,China,CHN,1987,2191053006.0,#7C704C
4455,China,CHN,1988,2347763494.0,#7C704C
4456,China,CHN,1989,2386884998.0,#7C704C
4457,China,CHN,1990,2420302108.0,#7C704C
4458,China,CHN,1991,2538923968.0,#7C704C
4459,China,CHN,1992,2657112406.0,#7C704C
4460,China,CHN,1993,2835795473.0,#7C704C
4461,China,CHN,1994,3010242208.0,#7C704C
4462,China,CHN,1995,3265056964.0,#7C704C
4463,China,CHN,1996,3408346591.0,#7C704C
4464,China,CHN,1997,3414549286.0,#7C704C
4465,China,CHN,1998,3265902621.0,#7C704C
4466,China,CHN,1999,3258134887.0,#7C704C
4467,China,CHN,2000,3349294776.0,#7C704C
4468,China,CHN,2001,3426144062.0,#7C704C
4469,China,CHN,2002,3782439297.0,#7C704C
4470,China,CHN,2003,4452310296.0,#7C704C
4471,China,CHN,2004,5125894416.0,#7C704C
4472,China,CHN,2005,5771168440.0,#7C704C
4473,China,CHN,2006,6377748016.0,#7C704C
4474,China,CHN,2007,6861750652.0,#7C704C
4475,China,CHN,2008,7375189907.0,#7C704C
4476,China,CHN,2009,7758811768.0,#7C704C
4477,China,CHN,2010,8500542695.0,#7C704C
4478,China,CHN,2011,9388199234.0,#7C704C
4479,China,CHN,2012,9633899303.0,#7C704C
4480,China,CHN,2013,9796527160.0,#7C704C
4481,China,CHN,2014,9820360492.0,#7C704C
4482,China,CHN,2015,9716467840.0,#7C704C
4483,China,CHN,2016,9704479432.0,#7C704C
4484,China,CHN,2017,9838754028.0,#7C704C
9352,India,IND,1910,25695632.0,#B29B5E
9353,India,IND,1911,27113600.0,#B29B5E
9354,India,IND,1912,31217280.0,#B29B5E
9355,India,IND,1913,34437936.0,#B29B5E
9356,India,IND,1914,34716400.0,#B29B5E
9357,India,IND,1915,36277264.0,#B29B5E
9358,India,IND,1916,36680304.0,#B29B5E
9359,India,IND,1917,38358416.0,#B29B5E
9360,India,IND,1918,43158256.0,#B29B5E
9361,India,IND,1919,47122704.0,#B29B5E
9362,India,IND,1920,38160560.0,#B29B5E
9363,India,IND,1921,41044128.0,#B29B5E
9364,India,IND,1922,40388272.0,#B29B5E
9365,India,IND,1923,41575408.0,#B29B5E
9366,India,IND,1924,44510272.0,#B29B5E
9367,India,IND,1925,43916704.0,#B29B5E
9368,India,IND,1926,43792128.0,#B29B5E
9369,India,IND,1927,45931904.0,#B29B5E
9370,India,IND,1928,44198832.0,#B29B5E
9371,India,IND,1929,45994192.0,#B29B5E
9372,India,IND,1930,46756304.0,#B29B5E
9373,India,IND,1931,42824832.0,#B29B5E
9374,India,IND,1932,39816688.0,#B29B5E
9375,India,IND,1933,39087552.0,#B29B5E
9376,India,IND,1934,43645568.0,#B29B5E
9377,India,IND,1935,45602144.0,#B29B5E
9378,India,IND,1936,44818048.0,#B29B5E
9379,India,IND,1937,49643536.0,#B29B5E
9380,India,IND,1938,55575552.0,#B29B5E
9381,India,IND,1939,54403072.0,#B29B5E
9382,India,IND,1940,57697008.0,#B29B5E
9383,India,IND,1941,58957424.0,#B29B5E
